branch,cgpa,interest_domain,favorite_subject,technical_skills,projects_count,certifications_count,internship_experience,aptitude_score,logical_score,analytical_score,creativity_score,communication_score,coding_score,preferred_work_style,recommended_career
Mechanical,8.8,Web,Web Technology,"Git,Linux,Python,REST,SQL",5,1,Yes,95,86,99,79,89,99,Management,Backend Developer
ECE,8.9,Business,Management,"Agile,Documentation,Excel,SQL",1,2,Yes,89,83,99,96,88,81,Creative,Business Analyst
IT,6.7,Cloud,OS,"AWS,Networking,Terraform",0,0,No,84,86,84,96,78,89,Analytical,Cloud Engineer
CSE,9.2,Web,JavaScript,"API testing,Excel,SQL,Selenium,Testing",2,1,No,73,79,79,58,75,65,Creative,QA/Test Engineer
IT,8.8,AI,Python,"Deep Learning,Docker,ML,SQL,Statistics",3,3,No,95,88,95,99,90,85,Management,Machine Learning Engineer
EEE,8.1,Cloud,OS,"AWS,Docker,Networking,Statistics",5,3,No,62,58,71,80,64,56,Coding,Cloud Engineer
ECE,7.2,Cloud,Computer Networks,"AWS,Docker,Networking,Terraform",0,0,No,77,82,79,90,78,83,Creative,Cloud Engineer
Civil,7.3,Web,JavaScript,"CSS,Git,HTML,Node,React,SQL",5,3,No,78,80,80,64,81,72,Coding,Full Stack Developer
Mechanical,7.2,Business,DBMS,"Agile,Documentation,Excel,Linux,SQL",3,3,No,82,84,83,87,99,87,Coding,Business Analyst
CSE,7.2,Mobile,Kotlin,"Android,Git,Kotlin,REST",0,2,No,75,66,75,93,83,65,Coding,Android Developer
IT,8.8,Cloud,Cloud Computing,"AWS,Docker,Git,Networking,Terraform",4,1,No,81,91,93,87,73,92,Management,Cloud Engineer
ECE,8.5,Data,Data Mining,"ML,Pandas,Python,SQL,Statistics",2,3,No,68,58,84,69,74,75,Management,Data Scientist
Civil,8.5,Design,HCI,"Prototyping,Research,Teamwork,Wireframes",3,0,Yes,80,90,84,73,68,78,Analytical,UI/UX Designer
EEE,8.4,Web,Computer Networks,"CSS,Git,HTML,JavaScript,React",5,1,Yes,73,72,77,91,60,89,Analytical,Frontend Developer
ECE,8.3,AI,Python,"Deep Learning,Docker,ML,Python,SQL,Statistics",4,0,Yes,65,57,69,77,77,70,Analytical,Machine Learning Engineer
Mechanical,9.0,Web,JavaScript,"CSS,Git,HTML,JavaScript,Node,React,SQL",0,3,Yes,66,56,58,78,61,85,Analytical,Full Stack Developer
ECE,7.7,Cloud,OS,"CI/CD,Git,Kubernetes,Linux",1,2,No,95,98,99,99,83,99,Coding,DevOps Engineer
ECE,6.7,Security,OS,"Linux,Networking,OWASP,SIEM",2,3,No,56,47,56,71,42,54,Analytical,Cybersecurity Analyst
IT,9.1,AI,Deep Learning,"Deep Learning,Docker,ML,Python,SQL",5,0,Yes,57,57,45,47,63,67,Analytical,Machine Learning Engineer
IT,9.4,Web,JavaScript,"Git,Linux,Python,REST,SQL,Statistics",5,0,No,57,58,52,67,56,63,Analytical,Backend Developer
ECE,6.8,Web,Web Technology,"CSS,Git,HTML,JavaScript,React",5,2,Yes,58,64,64,75,59,77,Analytical,Frontend Developer
ECE,6.3,Business,DBMS,"Agile,Documentation,Excel,SQL",1,3,Yes,70,60,64,62,71,69,Creative,Business Analyst
IT,8.2,Data,ML,"Linux,ML,Pandas,Python,Statistics",1,1,No,71,69,79,78,78,94,Coding,Data Scientist
Mechanical,6.0,Design,HCI,"Figma,Prototyping,Wireframes",4,2,No,62,64,66,72,75,69,Coding,UI/UX Designer
Mechanical,8.4,Data,Statistics,"ML,Pandas,Python,SQL,Statistics",1,1,No,63,57,60,72,50,84,Management,Data Scientist
EEE,6.6,Security,OS,"Linux,Networking,OWASP,SIEM,Statistics",3,3,Yes,59,54,62,48,55,64,Management,Cybersecurity Analyst
CSE,9.5,Cloud,Cloud Computing,"AWS,Docker,Networking,Terraform",4,1,No,95,88,99,90,88,86,Analytical,Cloud Engineer
ECE,8.6,Web,JavaScript,"API testing,SQL,Selenium",0,1,No,58,53,53,51,44,63,Coding,QA/Test Engineer
Civil,6.5,Security,OS,"Linux,OWASP,SIEM",2,1,No,64,56,72,82,78,59,Coding,Cybersecurity Analyst
ECE,7.7,Web,Computer Networks,"CSS,Git,HTML,JavaScript,Node,React,SQL",5,0,No,83,92,84,95,82,79,Coding,Full Stack Developer
Mechanical,8.7,Security,OS,"Linux,Networking,OWASP,SIEM",1,2,No,89,83,87,99,95,82,Coding,Cybersecurity Analyst
Civil,9.0,Web,Web Technology,"Git,Linux,Python,REST,SQL,Statistics",4,2,Yes,66,72,62,51,55,79,Management,Backend Developer
Mechanical,6.5,Web,Web Technology,"CSS,Git,HTML,React",3,2,No,65,58,72,63,74,81,Analytical,Frontend Developer
IT,7.7,Cloud,OS,"CI/CD,Docker,Git,Linux",3,0,No,92,99,95,99,90,99,Coding,DevOps Engineer
Civil,6.1,Cloud,Cloud Computing,"AWS,Docker,Networking,Terraform",3,1,No,59,64,48,50,59,69,Creative,Cloud Engineer
CSE,6.7,Design,UI Basics,"Figma,Prototyping,Research,Wireframes",4,0,No,85,90,92,75,98,99,Creative,UI/UX Designer
IT,7.5,Data,DBMS,"ML,Pandas,SQL,Statistics",0,0,No,88,94,99,93,87,99,Creative,Data Scientist
IT,7.8,Data,Statistics,"ML,Pandas,Python,SQL,Statistics",0,1,No,79,80,83,76,79,89,Creative,Data Scientist
EEE,7.3,Data,DBMS,"ML,Pandas,Python,SQL,Statistics",0,0,Yes,67,58,85,77,77,62,Creative,Data Scientist
IT,8.6,Data,ML,"ML,Pandas,Python,SQL,Statistics,Teamwork",1,1,No,60,59,60,77,64,79,Coding,Data Scientist
IT,8.1,Mobile,Mobile Computing,"Android,Git,Kotlin,REST",3,2,No,67,66,62,76,57,76,Analytical,Android Developer
IT,6.5,Web,Web Technology,"API testing,SQL,Selenium,Testing",5,0,No,84,77,87,68,92,79,Coding,QA/Test Engineer
IT,8.0,Data,Data Mining,"Excel,Pandas,Python,SQL,Tableau",0,0,No,87,87,99,86,94,99,Coding,Data Analyst
EEE,7.4,Security,Network Security,"Linux,Networking,OWASP,SIEM",5,2,No,94,99,99,99,98,99,Creative,Cybersecurity Analyst
Mechanical,7.8,AI,ML,"Deep Learning,Docker,ML,Python,SQL",3,2,Yes,93,84,82,81,98,99,Creative,Machine Learning Engineer
IT,6.5,Security,OS,"Excel,Linux,Networking,OWASP,SIEM",5,2,No,60,59,49,48,58,55,Analytical,Cybersecurity Analyst
EEE,8.0,Security,Network Security,"Linux,Networking,OWASP,SIEM",3,3,No,63,73,66,80,54,68,Management,Cybersecurity Analyst
ECE,6.7,Data,DBMS,"ML,Pandas,Python,SQL,Statistics,Teamwork",2,0,No,61,68,65,65,71,71,Management,Data Scientist
CSE,9.4,Cloud,OS,"AWS,Docker,Networking,Terraform",0,2,No,60,51,68,70,68,56,Analytical,Cloud Engineer
EEE,6.1,Web,Computer Networks,"CSS,Git,HTML,JavaScript,Node,React,SQL",4,1,Yes,59,65,56,66,66,72,Management,Full Stack Developer
IT,8.2,Data,Statistics,"Excel,Pandas,Python,SQL,Tableau",4,2,No,93,91,99,85,88,99,Coding,Data Analyst
ECE,7.7,Design,UI Basics,"Excel,Figma,Prototyping,Research,Wireframes",1,0,No,85,80,90,84,86,86,Management,UI/UX Designer
Civil,6.8,Security,OS,"Linux,Networking,OWASP,SIEM",5,3,Yes,92,96,99,99,87,99,Creative,Cybersecurity Analyst
Civil,9.2,Cloud,Computer Networks,"CI/CD,Docker,Git,Kubernetes,Linux",0,1,Yes,74,78,62,81,78,90,Analytical,DevOps Engineer
Mechanical,7.7,Design,HCI,"Figma,Prototyping,Research,Wireframes",3,3,Yes,85,82,76,98,72,87,Analytical,UI/UX Designer
ECE,6.6,Cloud,Cloud Computing,"CI/CD,Docker,Git,Kubernetes,Linux",5,1,No,70,74,61,54,65,78,Analytical,DevOps Engineer
ECE,6.1,Mobile,Kotlin,"Android,Git,Kotlin,REST",5,1,Yes,69,66,57,58,63,66,Management,Android Developer
Mechanical,9.5,Design,Graphics,"Figma,Prototyping,Research,Wireframes",4,2,No,81,78,93,99,92,94,Coding,UI/UX Designer
Civil,6.6,Mobile,Mobile Computing,"Android,Git,Kotlin,REST",1,1,No,67,61,78,49,63,80,Creative,Android Developer
CSE,8.4,Web,Web Technology,"Git,Linux,Python,REST,SQL",2,0,No,89,85,97,93,75,91,Coding,Backend Developer
Civil,7.3,Web,Web Technology,"API testing,Excel,SQL,Selenium,Testing",3,0,No,85,83,83,85,86,80,Creative,QA/Test Engineer
Mechanical,6.9,Mobile,Mobile Computing,"Android,Git,Kotlin,REST",2,1,No,55,62,50,56,41,75,Coding,Android Developer
EEE,7.2,Business,DBMS,"Agile,Documentation,Excel,SQL",1,3,No,66,68,73,75,71,68,Analytical,Business Analyst
IT,7.4,Web,JavaScript,"CSS,Git,HTML,JavaScript,React,Teamwork",1,3,Yes,79,75,75,97,73,82,Management,Frontend Developer
ECE,8.1,AI,ML,"Deep Learning,Docker,ML,Python,SQL,Statistics",3,1,No,61,65,73,69,47,80,Creative,Machine Learning Engineer
CSE,7.1,Cloud,Cloud Computing,"AWS,Docker,Networking,Teamwork,Terraform",3,1,Yes,85,79,91,98,71,99,Management,Cloud Engineer
IT,9.3,Business,DBMS,"Agile,Documentation,Excel,SQL",5,3,Yes,60,51,49,44,64,60,Creative,Business Analyst
ECE,6.8,Design,Graphics,"Figma,Prototyping,Research,Wireframes",1,3,No,68,72,69,82,64,85,Management,UI/UX Designer
ECE,9.4,Business,DBMS,"Documentation,Excel,SQL",2,1,No,93,99,91,76,99,99,Analytical,Business Analyst
EEE,6.7,Web,Web Technology,"CSS,Git,HTML,JavaScript,React",3,3,Yes,61,57,50,76,69,61,Creative,Frontend Developer
Civil,9.1,Cloud,Cloud Computing,"AWS,Docker,Networking,Terraform",5,0,Yes,93,86,85,99,99,99,Analytical,Cloud Engineer
Mechanical,6.0,AI,Python,"Deep Learning,Docker,ML,Python,SQL",4,0,Yes,77,86,81,65,71,92,Coding,Machine Learning Engineer
EEE,9.2,Cloud,Cloud Computing,"CI/CD,Docker,Git,Kubernetes,Linux",3,2,No,78,73,70,88,91,87,Coding,DevOps Engineer
Mechanical,7.5,Data,DBMS,"Excel,Pandas,Python,SQL,Tableau",2,0,No,71,63,70,66,74,68,Creative,Data Analyst
CSE,9.0,AI,Python,"Deep Learning,Docker,Linux,ML,Python,SQL",4,1,Yes,90,99,86,99,99,97,Management,Machine Learning Engineer
CSE,7.8,Mobile,Java,"Android,Git,Kotlin,REST",0,1,No,76,73,71,71,78,67,Analytical,Android Developer
Mechanical,7.0,Design,UI Basics,"Excel,Figma,Prototyping,Research,Wireframes",4,3,No,78,79,83,99,78,76,Coding,UI/UX Designer
Civil,7.1,Web,Web Technology,"Git,Linux,REST,SQL",2,1,No,71,74,68,73,59,61,Management,Backend Developer
EEE,6.5,Data,ML,"Excel,Linux,Pandas,Python,SQL,Tableau",1,2,No,84,78,86,99,82,99,Management,Data Analyst
Civil,6.6,Design,HCI,"Figma,Prototyping,Research,Wireframes",5,0,No,76,66,72,91,72,83,Coding,UI/UX Designer
ECE,7.3,AI,ML,"Deep Learning,Docker,ML,Python,SQL",2,3,No,84,90,73,68,89,84,Creative,Machine Learning Engineer
ECE,8.5,Web,JavaScript,"API testing,Docker,SQL,Selenium",3,1,No,82,72,83,90,95,86,Coding,QA/Test Engineer
ECE,9.2,Web,JavaScript,"Git,Linux,Python,REST,SQL",2,0,No,59,66,51,55,71,70,Management,Backend Developer
Mechanical,8.3,AI,ML,"Deep Learning,Docker,ML,Python,SQL",0,0,No,69,62,71,69,62,73,Creative,Machine Learning Engineer
IT,7.1,Design,HCI,"Linux,Prototyping,Research,Wireframes",2,2,No,83,88,94,70,75,75,Analytical,UI/UX Designer
CSE,6.9,Data,Statistics,"Excel,Pandas,Python,SQL,Tableau",5,1,No,56,50,65,44,50,70,Creative,Data Analyst
ECE,7.2,Data,Statistics,"Excel,Pandas,Python,SQL,Tableau",2,0,Yes,61,51,81,72,46,61,Analytical,Data Analyst
ECE,8.8,Cloud,OS,"CI/CD,Docker,Git,Kubernetes,Linux",0,3,Yes,79,83,81,81,91,81,Management,DevOps Engineer
ECE,8.3,Cloud,Computer Networks,"Docker,Git,Kubernetes,Linux",0,1,No,56,59,51,57,55,61,Management,DevOps Engineer
CSE,6.1,Cloud,OS,"CI/CD,Docker,Git,Kubernetes,Linux",5,1,No,82,75,74,83,89,84,Management,DevOps Engineer
Mechanical,6.7,Web,JavaScript,"API testing,Selenium,Testing",0,2,No,70,72,80,80,57,85,Coding,QA/Test Engineer
EEE,7.4,Security,OS,"Linux,Networking,OWASP,SIEM",5,3,No,74,78,72,68,81,88,Creative,Cybersecurity Analyst
ECE,8.4,Web,Computer Networks,"CSS,Git,HTML,JavaScript,Node,React,SQL",2,3,No,65,75,59,55,77,63,Creative,Full Stack Developer
ECE,6.2,Mobile,Kotlin,"Android,Git,Kotlin,REST,Statistics",3,3,Yes,88,84,94,99,95,99,Creative,Android Developer
EEE,8.9,Business,Economics,"Agile,Documentation,Excel,SQL,Statistics",5,0,Yes,84,82,83,78,88,74,Analytical,Business Analyst
Civil,9.2,Web,Web Technology,"API testing,SQL,Testing",3,3,No,75,77,74,57,86,73,Analytical,QA/Test Engineer
Mechanical,6.9,Data,DBMS,"Linux,ML,Pandas,Python,SQL,Statistics",2,2,No,55,49,76,70,65,60,Creative,Data Scientist
ECE,6.0,AI,Deep Learning,"Deep Learning,Docker,Python,SQL",2,0,No,86,92,92,99,82,78,Coding,Machine Learning Engineer
Civil,9.1,AI,Deep Learning,"Deep Learning,Docker,ML,Python,SQL,Teamwork",2,1,Yes,57,60,54,57,56,70,Coding,Machine Learning Engineer
Civil,9.1,Data,DBMS,"Excel,Pandas,Python,SQL,Tableau",2,1,Yes,91,81,99,98,99,99,Coding,Data Analyst
Mechanical,6.3,Cloud,Computer Networks,"AWS,Docker,Networking,Terraform",5,0,No,94,99,83,97,96,99,Creative,Cloud Engineer
EEE,7.1,AI,Deep Learning,"Deep Learning,Docker,Python,SQL",4,3,No,70,62,60,81,69,85,Management,Machine Learning Engineer
EEE,7.5,Web,Web Technology,"API testing,Excel,SQL,Selenium,Testing",3,3,No,56,47,58,53,47,55,Management,QA/Test Engineer
Mechanical,7.9,Security,OS,"Communication,Linux,Networking,OWASP,SIEM",1,0,No,81,75,82,82,80,94,Coding,Cybersecurity Analyst
Civil,6.4,Mobile,Kotlin,"Android,Git,Kotlin,REST",1,3,No,79,76,68,82,68,95,Analytical,Android Developer
EEE,9.0,Cloud,Computer Networks,"Docker,Networking,Terraform",3,2,Yes,82,90,93,79,74,82,Management,Cloud Engineer
Mechanical,6.9,Web,Web Technology,"API testing,SQL,Selenium,Testing",4,0,Yes,83,90,85,72,71,98,Creative,QA/Test Engineer
EEE,8.6,Data,Statistics,"Excel,Pandas,Python,SQL,Tableau",0,2,Yes,61,70,76,57,72,65,Coding,Data Analyst
ECE,8.2,Cloud,OS,"AWS,Docker,Networking,Terraform",0,3,No,88,97,77,88,86,99,Coding,Cloud Engineer
ECE,8.0,Mobile,Kotlin,"Android,Git,Kotlin,REST,Statistics",0,2,No,79,73,72,91,78,82,Management,Android Developer
EEE,8.1,Data,DBMS,"ML,Pandas,Python,SQL,Statistics,Teamwork",1,0,No,60,55,70,49,59,79,Creative,Data Scientist
EEE,6.2,Data,Data Mining,"ML,Pandas,Python,SQL,Statistics",3,3,Yes,56,64,58,61,56,72,Management,Data Scientist
Civil,8.9,Cloud,OS,"CI/CD,Git,Kubernetes,Linux",2,2,No,70,66,71,65,59,63,Analytical,DevOps Engineer
ECE,9.3,Data,Statistics,"Linux,ML,Pandas,Python,SQL,Statistics",5,2,Yes,77,76,95,95,66,93,Analytical,Data Scientist
IT,7.1,Design,UI Basics,"Figma,Prototyping,Research,Wireframes",3,1,Yes,79,83,78,81,72,97,Creative,UI/UX Designer
Civil,7.1,Cloud,OS,"Docker,Git,Kubernetes,Linux",5,1,No,63,55,57,53,50,66,Creative,DevOps Engineer
CSE,6.5,Data,Statistics,"Excel,Pandas,Python,SQL,Tableau",4,3,Yes,56,55,57,60,58,48,Coding,Data Analyst
EEE,6.2,Business,DBMS,"Agile,Documentation,Excel",4,0,No,79,88,79,67,91,93,Management,Business Analyst
Mechanical,6.7,Security,OS,"Linux,Networking,OWASP,SIEM",1,0,No,82,85,80,99,69,75,Management,Cybersecurity Analyst
EEE,8.1,Web,Computer Networks,"CSS,Git,HTML,JavaScript,Linux",5,3,Yes,88,88,93,97,84,91,Creative,Frontend Developer
ECE,7.4,Business,Management,"Agile,Documentation,Excel,Linux",0,3,No,76,66,87,83,93,72,Management,Business Analyst
Civil,8.7,Data,DBMS,"Excel,Pandas,Python,SQL,Tableau",5,1,No,73,67,98,59,84,97,Management,Data Analyst
Mechanical,9.5,Data,DBMS,"Excel,Pandas,Python,SQL,Tableau",2,3,No,63,65,87,71,59,87,Management,Data Analyst
EEE,8.6,Data,Statistics,"Docker,ML,Pandas,Python,SQL",5,3,No,87,92,93,79,98,99,Analytical,Data Scientist
ECE,8.5,Data,Statistics,"Excel,Python,SQL,Tableau",0,1,No,59,59,56,55,60,70,Management,Data Analyst
EEE,6.5,Data,ML,"Communication,ML,Pandas,Python,SQL,Statistics",0,3,No,78,83,75,81,89,97,Coding,Data Scientist
EEE,6.3,Cloud,Cloud Computing,"AWS,Docker,Networking,Terraform",5,2,No,67,76,56,50,71,59,Creative,Cloud Engineer
Civil,6.8,Web,JavaScript,"Git,Linux,Python,REST,SQL,Statistics",2,3,No,79,73,88,70,79,99,Creative,Backend Developer
IT,8.8,Web,Computer Networks,"CSS,Git,HTML,JavaScript,React",2,3,No,90,88,92,94,98,99,Management,Frontend Developer
Mechanical,6.8,Design,HCI,"Figma,Prototyping,Research,Wireframes",2,1,No,55,54,43,80,66,69,Analytical,UI/UX Designer
EEE,7.9,Cloud,Computer Networks,"AWS,Docker,Networking,Terraform",0,3,No,87,78,83,95,99,94,Coding,Cloud Engineer
IT,7.9,Data,Statistics,"Excel,Pandas,Python,SQL,Tableau",3,0,Yes,72,68,96,88,83,81,Creative,Data Analyst
Mechanical,7.1,Web,Web Technology,"CSS,Git,HTML,JavaScript,React",2,3,No,80,82,90,91,82,74,Analytical,Frontend Developer
ECE,8.7,Security,Cryptography,"Linux,Networking,OWASP,SIEM",4,0,No,84,79,92,94,71,97,Creative,Cybersecurity Analyst
Mechanical,6.3,Mobile,Mobile Computing,"Android,Communication,Git,Kotlin",1,0,No,93,99,95,96,82,91,Coding,Android Developer
ECE,8.8,Mobile,Mobile Computing,"Android,Git,Kotlin,REST",5,1,Yes,93,94,84,99,86,99,Analytical,Android Developer
EEE,9.4,Design,UI Basics,"Figma,Prototyping,Research,Wireframes",0,0,No,79,86,85,74,74,80,Coding,UI/UX Designer
Mechanical,9.5,Data,Data Mining,"ML,Pandas,Python,SQL,Statistics",2,2,Yes,85,95,84,88,78,99,Coding,Data Scientist
Civil,6.2,Web,Computer Networks,"CSS,Communication,Git,HTML,JavaScript,React",1,0,No,72,70,74,85,62,73,Coding,Frontend Developer
IT,6.5,Data,ML,"Linux,ML,Pandas,Python,SQL,Statistics",5,0,No,55,61,73,61,67,71,Coding,Data Scientist
CSE,6.5,Web,Web Technology,"CSS,Excel,Git,HTML,JavaScript,React",0,3,No,76,78,81,98,74,67,Analytical,Frontend Developer
EEE,6.4,Cloud,Computer Networks,"Docker,Git,Kubernetes,Linux",0,0,Yes,59,53,62,42,49,61,Coding,DevOps Engineer
Civil,9.3,Data,ML,"ML,Pandas,Python,SQL,Statistics",4,0,No,93,93,99,89,98,99,Creative,Data Scientist
IT,8.9,Web,JavaScript,"CSS,Git,HTML,JavaScript,React,Statistics",1,1,Yes,67,68,67,79,60,84,Creative,Frontend Developer
ECE,9.1,Security,Network Security,"Linux,Networking,OWASP,SIEM,Statistics",4,3,No,59,64,70,61,69,64,Analytical,Cybersecurity Analyst
Civil,7.0,Data,Statistics,"ML,Pandas,Python,SQL,Statistics,Teamwork",4,1,Yes,84,80,83,74,72,76,Creative,Data Scientist
EEE,8.6,Web,JavaScript,"CSS,Excel,Git,HTML,JavaScript,Node,React,SQL",3,2,No,60,67,71,69,47,63,Analytical,Full Stack Developer
Mechanical,9.5,Web,JavaScript,"Git,Linux,Python,REST,SQL",3,2,No,90,86,99,99,87,94,Coding,Backend Developer
IT,6.2,Business,Economics,"Agile,Documentation,Excel,SQL",4,3,No,60,65,63,46,60,66,Management,Business Analyst
Mechanical,7.8,Web,JavaScript,"CSS,Docker,Git,HTML,JavaScript,React",2,3,No,74,78,76,81,88,88,Creative,Frontend Developer
ECE,8.0,Business,Economics,"Agile,Documentation,Excel,SQL",1,0,No,57,59,67,70,48,52,Analytical,Business Analyst
CSE,9.0,Web,Web Technology,"CSS,Git,HTML,JavaScript,React",1,3,Yes,91,99,86,90,95,83,Management,Frontend Developer
IT,6.3,Data,Statistics,"ML,Pandas,Python,SQL,Statistics",1,0,No,83,82,93,85,81,83,Coding,Data Scientist
